t1,rx,ry,rz,qx,qy,qz,qw,t2,th1,th2,th3,th4,th5,th6
3.29998,0.110251,0.367085,-0.569558,0.699122,-0.0841411,-0.190212,0.684082,3.29998,1.20637,1.67007,-1.11589,-1.94465,-2.98765,-2.96755
3.40001,0.110251,0.367085,-0.569558,0.699122,-0.0841411,-0.190212,0.684082,3.40001,1.20637,1.67007,-1.11589,-1.94465,-2.98765,-2.96755
3.50002,0.110251,0.367085,-0.569558,0.699122,-0.0841411,-0.190212,0.684082,3.50002,1.20637,1.67007,-1.11589,-1.94465,-2.98765,-2.96755
3.6,0.110251,0.367085,-0.569558,0.699122,-0.0841411,-0.190212,0.684082,3.6,1.20637,1.67007,-1.11589,-1.94465,-2.98765,-2.96755
3.70003,0.110251,0.367085,-0.569558,0.699122,-0.0841411,-0.190212,0.684082,3.70003,1.20637,1.67007,-1.11589,-1.94465,-2.98765,-2.96755
3.80002,0.110251,0.367085,-0.569558,0.699122,-0.0841411,-0.190212,0.684082,3.80002,1.20637,1.67007,-1.11589,-1.94465,-2.98765,-2.96755
3.89999,0.630054,0.0932032,-0.0472753,0.360336,0.772448,-0.490938,0.180171,3.89999,-0.069115,0.704973,-1.43382,-0.00565487,-1.23213,1.23779
4.00003,0.630054,0.0932032,-0.0472753,0.360336,0.772448,-0.490938,0.180171,4.00003,-0.069115,0.704973,-1.43382,-0.00565487,-1.23213,1.23779
4.10002,0.630054,0.0932032,-0.0472753,0.360336,0.772448,-0.490938,0.180171,4.10002,-0.069115,0.704973,-1.43382,-0.00565487,-1.23213,1.23779
4.20002,0.630054,0.0932032,-0.0472753,0.360336,0.772448,-0.490938,0.180171,4.20002,-0.069115,0.704973,-1.43382,-0.00565487,-1.23213,1.23779
4.30001,0.630054,0.0932032,-0.0472753,0.360336,0.772448,-0.490938,0.180171,4.30001,-0.069115,0.704973,-1.43382,-0.00565487,-1.23213,1.23779
4.40002,-0.018243,-0.417897,-0.296181,0.660749,0.666412,-0.274796,-0.209269,4.40002,-1.82087,-0.243159,1.6418,-1.4866,-1.85919,0.676071
4.5,-0.018243,-0.417897,-0.296181,0.660749,0.666412,-0.274796,-0.209269,4.5,-1.82087,-0.243159,1.6418,-1.4866,-1.85919,0.676071
4.60001,-0.018243,-0.417897,-0.296181,0.660749,0.666412,-0.274796,-0.209269,4.60001,-1.82087,-0.243159,1.6418,-1.4866,-1.85919,0.676071
4.70005,-0.018243,-0.417897,-0.296181,0.660749,0.666412,-0.274796,-0.209269,4.70005,-1.82087,-0.243159,1.6418,-1.4866,-1.85919,0.676071
4.80002,0.0404379,0.197258,-0.318938,0.177423,0.354062,0.751357,0.527848,4.80002,0.154566,0.452389,1.82024,0.439195,0.260124,1.22585
4.90002,0.0404379,0.197258,-0.318938,0.177423,0.354062,0.751357,0.527848,4.90002,0.154566,0.452389,1.82024,0.439195,0.260124,1.22585
5.00001,0.0404379,0.197258,-0.318938,0.177423,0.354062,0.751357,0.527848,5.00001,0.154566,0.452389,1.82024,0.439195,0.260124,1.22585
5.10001,0.0404379,0.197258,-0.318938,0.177423,0.354062,0.751357,0.527848,5.10001,0.154566,0.452389,1.82024,0.439195,0.260124,1.22585
5.20001,0.0404379,0.197258,-0.318938,0.177423,0.354062,0.751357,0.527848,5.20001,0.154566,0.452389,1.82024,0.439195,0.260124,1.22585
5.30023,0.506996,0.362086,0.548893,0.228507,0.831684,0.4511,0.229338,5.30023,-2.47181,-2.2431,-0.304106,-3.13405,2.82681,-0.473752
5.40004,0.506996,0.362086,0.548893,0.228507,0.831684,0.4511,0.229338,5.40004,-2.47181,-2.2431,-0.304106,-3.13405,2.82681,-0.473752
5.50004,0.506996,0.362086,0.548893,0.228507,0.831684,0.4511,0.229338,5.50004,-2.47181,-2.2431,-0.304106,-3.13405,2.82681,-0.473752
5.60001,0.506996,0.362086,0.548893,0.228507,0.831684,0.4511,0.229338,5.60001,-2.47181,-2.2431,-0.304106,-3.13405,2.82681,-0.473752
5.70001,0.506996,0.362086,0.548893,0.228507,0.831684,0.4511,0.229338,5.70001,-2.47181,-2.2431,-0.304106,-3.13405,2.82681,-0.473752
5.80001,0.260832,-0.608151,-0.0372379,-0.171333,0.841318,0.422347,0.290608,5.80001,2.22299,2.63328,0.711257,0.766549,-0.876504,1.48032
5.90003,0.260832,-0.608151,-0.0372379,-0.171333,0.841318,0.422347,0.290608,5.90003,2.22299,2.63328,0.711257,0.766549,-0.876504,1.48032
6.00001,0.260832,-0.608151,-0.0372379,-0.171333,0.841318,0.422347,0.290608,6.00001,2.22299,2.63328,0.711257,0.766549,-0.876504,1.48032
6.10002,0.260832,-0.608151,-0.0372379,-0.171333,0.841318,0.422347,0.290608,6.10002,2.22299,2.63328,0.711257,0.766549,-0.876504,1.48032
6.2,0.260832,-0.608151,-0.0372379,-0.171333,0.841318,0.422347,0.290608,6.2,2.22299,2.63328,0.711257,0.766549,-0.876504,1.48032
6.30001,0.304146,0.437754,0.776843,0.480867,0.829393,0.165619,0.23118,6.30001,-2.09858,-2.54343,0.716283,-1.70903,2.51893,2.28017
6.40003,0.304146,0.437754,0.776843,0.480867,0.829393,0.165619,0.23118,6.40003,-2.09858,-2.54343,0.716283,-1.70903,2.51893,2.28017
6.50001,0.304146,0.437754,0.776843,0.480867,0.829393,0.165619,0.23118,6.50001,-2.09858,-2.54343,0.716283,-1.70903,2.51893,2.28017
6.60002,0.304146,0.437754,0.776843,0.480867,0.829393,0.165619,0.23118,6.60002,-2.09858,-2.54343,0.716283,-1.70903,2.51893,2.28017
6.70001,-0.0920579,-0.167332,-0.158802,-0.217773,0.412943,0.304885,0.83012,6.70001,1.4621,1.10835,2.6892,-2.65716,2.02067,-2.57548
6.80001,-0.0920579,-0.167332,-0.158802,-0.217773,0.412943,0.304885,0.83012,6.80001,1.4621,1.10835,2.6892,-2.65716,2.02067,-2.57548
6.90002,-0.0920579,-0.167332,-0.158802,-0.217773,0.412943,0.304885,0.83012,6.90002,1.4621,1.10835,2.6892,-2.65716,2.02067,-2.57548
7.00007,-0.0920579,-0.167332,-0.158802,-0.217773,0.412943,0.304885,0.83012,7.00007,1.4621,1.10835,2.6892,-2.65716,2.02067,-2.57548
7.10001,-0.0920579,-0.167332,-0.158802,-0.217773,0.412943,0.304885,0.83012,7.10001,1.4621,1.10835,2.6892,-2.65716,2.02067,-2.57548
7.20008,0.420367,0.186009,-0.0263668,-0.151238,0.247961,-0.757563,0.584586,7.20008,-2.38887,1.97166,1.66504,-0.424115,-1.02856,-0.623292
7.30001,0.420367,0.186009,-0.0263668,-0.151238,0.247961,-0.757563,0.584586,7.30001,-2.38887,1.97166,1.66504,-0.424115,-1.02856,-0.623292
7.4,0.420367,0.186009,-0.0263668,-0.151238,0.247961,-0.757563,0.584586,7.4,-2.38887,1.97166,1.66504,-0.424115,-1.02856,-0.623292
7.5,0.420367,0.186009,-0.0263668,-0.151238,0.247961,-0.757563,0.584586,7.5,-2.38887,1.97166,1.66504,-0.424115,-1.02856,-0.623292
7.60005,0.420367,0.186009,-0.0263668,-0.151238,0.247961,-0.757563,0.584586,7.60005,-2.38887,1.97166,1.66504,-0.424115,-1.02856,-0.623292
7.69999,0.217682,-0.314418,0.620809,0.0361946,0.60297,0.796536,-0.0254568,7.69999,-1.06374,-1.54378,1.52744,-2.94556,2.62449,1.45267
7.80006,0.217682,-0.314418,0.620809,0.0361946,0.60297,0.796536,-0.0254568,7.80006,-1.06374,-1.54378,1.52744,-2.94556,2.62449,1.45267
7.90002,0.217682,-0.314418,0.620809,0.0361946,0.60297,0.796536,-0.0254568,7.90002,-1.06374,-1.54378,1.52744,-2.94556,2.62449,1.45267
8.00003,0.217682,-0.314418,0.620809,0.0361946,0.60297,0.796536,-0.0254568,8.00003,-1.06374,-1.54378,1.52744,-2.94556,2.62449,1.45267
8.10008,-0.181047,0.50597,-0.385051,-0.66327,-0.115752,-0.46597,0.574061,8.10008,-0.985203,2.56857,-0.627062,0.316044,-1.33015,-1.14605
8.20002,-0.181047,0.50597,-0.385051,-0.66327,-0.115752,-0.46597,0.574061,8.20002,-0.985203,2.56857,-0.627062,0.316044,-1.33015,-1.14605
8.3,-0.181047,0.50597,-0.385051,-0.66327,-0.115752,-0.46597,0.574061,8.3,-0.985203,2.56857,-0.627062,0.316044,-1.33015,-1.14605
8.40002,-0.181047,0.50597,-0.385051,-0.66327,-0.115752,-0.46597,0.574061,8.40002,-0.985203,2.56857,-0.627062,0.316044,-1.33015,-1.14605
8.50002,-0.181047,0.50597,-0.385051,-0.66327,-0.115752,-0.46597,0.574061,8.50002,-0.985203,2.56857,-0.627062,0.316044,-1.33015,-1.14605
8.59999,-0.35168,0.585412,0.22433,-0.669356,0.0255923,0.47812,0.568075,8.59999,-0.777858,-2.61318,-0.600044,1.5997,-0.733876,-2.94556
8.70005,-0.35168,0.585412,0.22433,-0.669356,0.0255923,0.47812,0.568075,8.70005,-0.777858,-2.61318,-0.600044,1.5997,-0.733876,-2.94556
8.79997,-0.35168,0.585412,0.22433,-0.669356,0.0255923,0.47812,0.568075,8.79997,-0.777858,-2.61318,-0.600044,1.5997,-0.733876,-2.94556
8.90005,-0.35168,0.585412,0.22433,-0.669356,0.0255923,0.47812,0.568075,8.90005,-0.777858,-2.61318,-0.600044,1.5997,-0.733876,-2.94556
8.99999,0.077403,-0.398554,-0.0577936,-0.238485,0.0411252,-0.161494,0.956741,8.99999,-1.86988,-0.355628,2.04832,1.4954,-0.0358142,-0.535327
9.10003,0.077403,-0.398554,-0.0577936,-0.238485,0.0411252,-0.161494,0.956741,9.10003,-1.86988,-0.355628,2.04832,1.4954,-0.0358142,-0.535327
9.20002,0.077403,-0.398554,-0.0577936,-0.238485,0.0411252,-0.161494,0.956741,9.20002,-1.86988,-0.355628,2.04832,1.4954,-0.0358142,-0.535327
9.30002,0.077403,-0.398554,-0.0577936,-0.238485,0.0411252,-0.161494,0.956741,9.30002,-1.86988,-0.355628,2.04832,1.4954,-0.0358142,-0.535327
9.40006,-0.0366053,0.112417,0.387804,0.308932,0.703269,-0.445953,0.459456,9.40006,-0.112469,-2.77968,2.05272,-0.446106,-1.58965,1.04301
9.50004,-0.0366053,0.112417,0.387804,0.308932,0.703269,-0.445953,0.459456,9.50004,-0.112469,-2.77968,2.05272,-0.446106,-1.58965,1.04301
9.60003,-0.0366053,0.112417,0.387804,0.308932,0.703269,-0.445953,0.459456,9.60003,-0.112469,-2.77968,2.05272,-0.446106,-1.58965,1.04301
9.70004,-0.0366053,0.112417,0.387804,0.308932,0.703269,-0.445953,0.459456,9.70004,-0.112469,-2.77968,2.05272,-0.446106,-1.58965,1.04301
